# ATP-8 30-Minute Endurance Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
1946,-0.3302,-0.0455,9.7268,4.8397,0.0096,0.0192,0.0454,0.000000,0.000000
1960,-0.3182,-0.0646,9.7508,4.8393,0.0125,0.0183,0.0438,0.000000,0.000000
1974,-0.3637,-0.0670,9.7340,4.7984,0.0067,0.0261,0.0437,0.000000,0.000000
1988,-0.3781,-0.0622,9.7412,4.7816,0.0044,0.0231,0.0449,0.000000,0.000000
2002,-0.3350,-0.0742,9.7388,4.7553,0.0064,0.0249,0.0473,0.000000,0.000000
2016,-0.3613,-0.0455,9.7340,4.7267,0.0070,0.0195,0.0475,0.000000,0.000000
2030,-0.3446,-0.0383,9.7340,4.7031,0.0102,0.0211,0.0476,0.000000,0.000000
2044,-0.3565,-0.0526,9.6885,4.6343,0.0093,0.0212,0.0446,0.000000,0.000000
2058,-0.3900,-0.0479,9.7460,4.6683,0.0102,0.0200,0.0476,0.000000,0.000000
2072,-0.4068,-0.0407,9.7723,4.6712,0.0096,0.0241,0.0452,0.000000,0.000000
2086,-0.3541,-0.0455,9.6957,4.5716,0.0104,0.0246,0.0472,0.000000,0.000000
2100,-0.3613,-0.0359,9.7364,4.5892,0.0081,0.0249,0.0466,0.000000,0.000000
2114,-0.3613,-0.0814,9.6622,4.4925,0.0090,0.0232,0.0475,0.000000,0.000000
2128,-0.3374,-0.0598,9.7460,4.5534,0.0134,0.0250,0.0483,0.000000,0.000000
2142,-0.3422,-0.0311,9.7603,4.5449,0.0127,0.0237,0.0452,0.000000,0.000000
2156,-0.3350,-0.0455,9.7508,4.5126,0.0063,0.0209,0.0443,0.000000,0.000000
2170,-0.3494,-0.0383,9.6814,4.4210,0.0061,0.0217,0.0519,0.000000,0.000000
2184,-0.3757,-0.0335,9.7244,4.4418,0.0078,0.0224,0.0454,0.000000,0.000000
2198,-0.3613,-0.0766,9.6909,4.3862,0.0115,0.0214,0.0457,0.000000,0.000000
2212,-0.3541,-0.0670,9.7579,4.4310,0.0107,0.0257,0.0446,0.000000,0.000000
2226,-0.3326,-0.0670,9.7340,4.3850,0.0098,0.0223,0.0435,0.000000,0.000000
2240,-0.3637,-0.0215,9.7460,4.3750,0.0116,0.0203,0.0415,0.000000,0.000000
2254,-0.3757,-0.0646,9.7268,4.3341,0.0102,0.0228,0.0463,0.000000,0.000000
2268,-0.3326,-0.0455,9.7149,4.3005,0.0107,0.0226,0.0452,0.000000,0.000000
2282,-0.3709,-0.0837,9.7149,4.2790,0.0095,0.0203,0.0446,0.000000,0.000000
2296,-0.3589,-0.1125,9.7149,4.2576,0.0090,0.0205,0.0460,0.000000,0.000000
2310,-0.3254,-0.0574,9.7268,4.2482,0.0111,0.0226,0.0444,0.000000,0.000000
2324,-0.2991,-0.0550,9.7173,4.2174,0.0082,0.0234,0.0460,0.000000,0.000000
2338,-0.3876,-0.0167,9.7436,4.2225,0.0082,0.0224,0.0475,0.000000,0.000000
2352,-0.3326,-0.0598,9.7436,4.2014,0.0081,0.0218,0.0443,0.000000,0.000000
2366,-0.3398,-0.0933,9.7484,4.1852,0.0093,0.0231,0.0446,0.000000,0.000000
2380,-0.3398,-0.0479,9.7268,4.1428,0.0108,0.0220,0.0470,0.000000,0.000000
2394,-0.3829,-0.0479,9.7436,4.1388,0.0081,0.0218,0.0454,0.000000,0.000000
2408,-0.3470,-0.0718,9.7651,4.1395,0.0081,0.0229,0.0483,0.000000,0.000000
2422,-0.3494,-0.0718,9.7125,4.0664,0.0099,0.0234,0.0475,0.000000,0.000000
2436,-0.3206,-0.0766,9.6766,4.0104,0.0055,0.0275,0.0440,0.000000,0.000000
2450,-0.3302,-0.0646,9.7196,4.0332,0.0072,0.0214,0.0483,0.000000,0.000000
2464,-0.3733,-0.0407,9.7196,4.0130,0.0086,0.0226,0.0432,0.000000,0.000000
2478,-0.3517,-0.0766,9.7173,3.9906,0.0101,0.0234,0.0496,0.000000,0.000000
2492,-0.3541,-0.0646,9.7196,3.9730,0.0095,0.0247,0.0458,0.000000,0.000000
2506,-0.3494,-0.0479,9.7364,3.9698,0.0058,0.0237,0.0463,0.000000,0.000000
2520,-0.3494,-0.0407,9.6909,3.9047,0.0079,0.0200,0.0461,0.000000,0.000000
2534,-0.3613,-0.0646,9.7508,3.9447,0.0081,0.0250,0.0421,0.000000,0.000000
2548,-0.3422,-0.0479,9.7029,3.8774,0.0124,0.0250,0.0463,0.000000,0.000000
2562,-0.3709,-0.0646,9.7412,3.8961,0.0095,0.0246,0.0451,0.000000,0.000000
2576,-0.3278,-0.0814,9.7484,3.8837,0.0092,0.0211,0.0467,0.000000,0.000000
2590,-0.3852,-0.0814,9.7292,3.8453,0.0092,0.0252,0.0463,0.000000,0.000000
2604,-0.3470,-0.0550,9.7364,3.8332,0.0087,0.0250,0.0452,0.000000,0.000000
2618,-0.3517,-0.0814,9.7603,3.8378,0.0111,0.0218,0.0432,0.000000,0.000000
2632,-0.3781,-0.0622,9.7890,3.8472,0.0107,0.0220,0.0478,0.000000,0.000000
2646,-0.3326,-0.0622,9.7771,3.8161,0.0096,0.0224,0.0464,0.000000,0.000000
2660,-0.3972,-0.0670,9.7149,3.7351,0.0101,0.0247,0.0458,0.000000,0.000000
2674,-0.3517,-0.0694,9.7603,3.7617,0.0053,0.0241,0.0467,0.000000,0.000000
2688,-0.3613,-0.0574,9.7005,3.6833,0.0086,0.0247,0.0449,0.000000,0.000000
2702,-0.3470,-0.0455,9.6455,3.6102,0.0151,0.0215,0.0461,0.000000,0.000000
2716,-0.3159,-0.0359,9.7508,3.6969,0.0092,0.0208,0.0455,0.000000,0.000000
2730,-0.3541,-0.0598,9.7077,3.6355,0.0107,0.0209,0.0458,0.000000,0.000000
2744,-0.3829,-0.0766,9.7531,3.6626,0.0119,0.0244,0.0458,0.000000,0.000000
2758,-0.3398,-0.0550,9.7077,3.5990,0.0102,0.0208,0.0440,0.000000,0.000000
2772,-0.3422,-0.0766,9.7292,3.6025,0.0089,0.0220,0.0452,0.000000,0.000000
2786,-0.3637,-0.0598,9.7388,3.5940,0.0082,0.0215,0.0460,0.000000,0.000000
2800,-0.3757,-0.0574,9.7340,3.5712,0.0096,0.0212,0.0458,0.000000,0.000000
2814,-0.3685,-0.0646,9.6766,3.4962,0.0115,0.0232,0.0472,0.000000,0.000000
2828,-0.3613,-0.0526,9.7579,3.5597,0.0087,0.0241,0.0466,0.000000,0.000000
2842,-0.3637,-0.0861,9.7220,3.5062,0.0110,0.0235,0.0443,0.000000,0.000000
2856,-0.3733,-0.0574,9.7029,3.4696,0.0147,0.0237,0.0437,0.000000,0.000000
2870,-0.3637,-0.0885,9.7196,3.4689,0.0093,0.0217,0.0438,0.000000,0.000000
2884,-0.3398,-0.0814,9.7149,3.4468,0.0127,0.0235,0.0443,0.000000,0.000000
2898,-0.3565,-0.0574,9.7579,3.4725,0.0066,0.0267,0.0441,0.000000,0.000000
2912,-0.3589,-0.0598,9.7460,3.4432,0.0113,0.0224,0.0441,0.000000,0.000000
2926,-0.3494,-0.0526,9.7101,3.3903,0.0069,0.0260,0.0484,0.000000,0.000000
2940,-0.3446,-0.0670,9.7627,3.4257,0.0111,0.0232,0.0484,0.000000,0.000000
2954,-0.3422,-0.0837,9.6885,3.3348,0.0070,0.0223,0.0447,0.000000,0.000000
2968,-0.3446,-0.0502,9.7436,3.3728,0.0073,0.0250,0.0461,0.000000,0.000000
2982,-0.3206,-0.0502,9.7149,3.3274,0.0139,0.0247,0.0467,0.000000,0.000000
2996,-0.3948,-0.0742,9.6814,3.2774,0.0104,0.0257,0.0455,0.000000,0.000000
3010,-0.3326,-0.0455,9.7627,3.3420,0.0055,0.0243,0.0469,0.000000,0.000000
3024,-0.3589,-0.0694,9.7388,3.3015,0.0122,0.0234,0.0451,0.000000,0.000000
3038,-0.3852,-0.0957,9.7555,3.3016,0.0095,0.0250,0.0483,0.000000,0.000000
3052,-0.3852,-0.0933,9.7125,3.2423,0.0153,0.0229,0.0478,0.000000,0.000000
3066,-0.3182,-0.0670,9.7675,3.2808,0.0087,0.0171,0.0457,0.000000,0.000000
3080,-0.3278,-0.0646,9.7268,3.2239,0.0116,0.0224,0.0484,0.000000,0.000000
3094,-0.4140,-0.0742,9.7268,3.2078,0.0131,0.0218,0.0461,0.000000,0.000000
3108,-0.3685,-0.0407,9.7029,3.1680,0.0128,0.0238,0.0463,0.000000,0.000000
3122,-0.3470,-0.0670,9.7292,3.1783,0.0061,0.0229,0.0452,0.000000,0.000000
3136,-0.3685,-0.0574,9.6885,3.1220,0.0098,0.0214,0.0440,0.000000,0.000000
3150,-0.3541,-0.0598,9.7412,3.1587,0.0096,0.0197,0.0463,0.000000,0.000000
3164,-0.3517,-0.0670,9.7484,3.1501,0.0084,0.0250,0.0478,0.000000,0.000000
3178,-0.3182,-0.0574,9.7364,3.1224,0.0061,0.0221,0.0446,0.000000,0.000000
3192,-0.3470,-0.0502,9.7603,3.1306,0.0076,0.0234,0.0440,0.000000,0.000000
3206,-0.3972,-0.0646,9.7220,3.0769,0.0124,0.0212,0.0469,0.000000,0.000000
3220,-0.3326,-0.0622,9.7316,3.0710,0.0099,0.0237,0.0461,0.000000,0.000000
3234,-0.3302,-0.0814,9.7508,3.0747,0.0111,0.0270,0.0475,0.000000,0.000000
3248,-0.3278,-0.0861,9.7364,3.0450,0.0111,0.0223,0.0472,0.000000,0.000000
3262,-0.3541,-0.0574,9.7196,3.0132,0.0070,0.0237,0.0446,0.000000,0.000000
3276,-0.3781,-0.0550,9.6885,2.9671,0.0118,0.0255,0.0483,0.000000,0.000000
3290,-0.3494,-0.0598,9.7053,2.9690,0.0049,0.0220,0.0443,0.000000,0.000000
3304,-0.3470,-0.0670,9.7364,2.9851,0.0086,0.0221,0.0455,0.000000,0.000000
3318,-0.3302,-0.0718,9.7268,2.9606,0.0099,0.0232,0.0490,0.000000,0.000000
3332,-0.3374,-0.0670,9.7268,2.9458,0.0087,0.0228,0.0460,0.000000,0.000000
3346,-0.3517,-0.0646,9.7460,2.9501,0.0131,0.0228,0.0432,0.000000,0.000000
3360,-0.3374,-0.0670,9.7220,2.9116,0.0067,0.0218,0.0457,0.000000,0.000000
3374,-0.3374,-0.0837,9.7627,2.9375,0.0061,0.0200,0.0475,0.000000,0.000000
3388,-0.3565,-0.0574,9.7388,2.8990,0.0122,0.0229,0.0455,0.000000,0.000000
3402,-0.3637,-0.0383,9.6861,2.8321,0.0128,0.0197,0.0460,0.000000,0.000000
3416,-0.3685,-0.0574,9.7603,2.8918,0.0090,0.0266,0.0432,0.000000,0.000000
3430,-0.3326,-0.0670,9.7029,2.8202,0.0111,0.0226,0.0451,0.000000,0.000000
3444,-0.3661,-0.0646,9.7340,2.8370,0.0101,0.0220,0.0418,0.000000,0.000000
3458,-0.3541,-0.0526,9.7077,2.7967,0.0063,0.0231,0.0473,0.000000,0.000000
3472,-0.3326,-0.0861,9.7316,2.8065,0.0101,0.0244,0.0447,0.000000,0.000000
3486,-0.3254,-0.0646,9.7627,2.8234,0.0124,0.0218,0.0467,0.000000,0.000000
3500,-0.3589,-0.0455,9.7077,2.7545,0.0072,0.0209,0.0466,0.000000,0.000000
3514,-0.3637,-0.0790,9.7460,2.7788,0.0076,0.0217,0.0463,0.000000,0.000000
3528,-0.3446,-0.0742,9.7292,2.7483,0.0124,0.0218,0.0447,0.000000,0.000000
3542,-0.3422,-0.0861,9.7340,2.7393,0.0111,0.0241,0.0476,0.000000,0.000000
3556,-0.3637,-0.0598,9.7268,2.7185,0.0096,0.0228,0.0499,0.000000,0.000000
