timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
2366,-0.7753,-0.1651,9.5952,4.1214,0.0151,0.0255,0.0501,-33.957771,18.461008
2380,-0.8088,-0.1938,9.5521,4.0579,0.0122,0.0218,0.0461,-33.957771,18.461008
2394,-0.7801,-0.1531,9.5593,4.0448,0.0118,0.0260,0.0476,-33.957771,18.461008
2408,-0.7561,-0.1675,9.5976,4.0627,0.0121,0.0281,0.0478,-33.957771,18.461008
2422,-0.7585,-0.1819,9.5378,3.9828,0.0122,0.0215,0.0458,-33.957771,18.461008
2436,-0.7777,-0.2082,9.5426,3.9677,0.0090,0.0244,0.0490,-33.957771,18.461008
2450,-0.7513,-0.1842,9.5450,3.9502,0.0121,0.0208,0.0441,-33.957771,18.461008
2464,-0.7825,-0.1675,9.5641,3.9495,0.0134,0.0252,0.0487,-33.957771,18.461008
2478,-0.7561,-0.1723,9.5426,3.9083,0.0131,0.0199,0.0473,-33.957771,18.461008
2492,-0.7585,-0.1723,9.5091,3.8555,0.0145,0.0231,0.0449,-33.957771,18.461008
2506,-0.8016,-0.1627,9.5450,3.8719,0.0121,0.0205,0.0501,-33.957771,18.461008
2520,-0.7609,-0.1747,9.5809,3.8883,0.0122,0.0211,0.0466,-33.957771,18.461008
2534,-0.7657,-0.1795,9.5258,3.8141,0.0150,0.0192,0.0472,-33.957771,18.461008
2548,-0.7513,-0.1699,9.5713,3.8402,0.0153,0.0246,0.0473,-33.957771,18.461008
2562,-0.7633,-0.1914,9.5426,3.7924,0.0107,0.0223,0.0505,-33.957771,18.461008
2576,-0.7585,-0.1819,9.5426,3.7735,0.0122,0.0246,0.0464,-33.957771,18.461008
2590,-0.7322,-0.1986,9.5952,3.8070,0.0127,0.0224,0.0461,-33.957771,18.461008
2604,-0.7681,-0.1579,9.5545,3.7475,0.0118,0.0237,0.0476,-33.957771,18.461008
2618,-0.7274,-0.1842,9.5378,3.7121,0.0063,0.0246,0.0473,-33.957771,18.461008
2632,-0.7609,-0.2058,9.5186,3.6745,0.0136,0.0263,0.0476,-33.957771,18.461008
2646,-0.7513,-0.1819,9.5976,3.7347,0.0108,0.0235,0.0483,-33.957771,18.461008
2660,-0.7777,-0.1747,9.5569,3.6755,0.0118,0.0228,0.0478,-33.957771,18.461008
2674,-0.7705,-0.1914,9.5234,3.6238,0.0095,0.0206,0.0481,-33.957771,18.461008
2688,-0.7657,-0.2058,9.5665,3.6486,0.0099,0.0232,0.0487,-33.957771,18.461008
2702,-0.7777,-0.1747,9.5617,3.6255,0.0134,0.0215,0.0492,-33.957771,18.461008
2716,-0.7705,-0.1842,9.5521,3.5979,0.0124,0.0220,0.0458,-33.957771,18.461008
2730,-0.7370,-0.1699,9.5880,3.6156,0.0086,0.0194,0.0496,-33.957771,18.461008
2744,-0.7705,-0.1579,9.5856,3.5952,0.0087,0.0218,0.0489,-33.957771,18.461008
2758,-0.7609,-0.1842,9.5833,3.5748,0.0136,0.0240,0.0478,-33.957771,18.461008
2772,-0.7705,-0.1819,9.5569,3.5307,0.0160,0.0211,0.0480,-33.957771,18.461008
2786,-0.7418,-0.1603,9.5809,3.5369,0.0121,0.0223,0.0467,-33.957771,18.461008
2800,-0.7801,-0.1819,9.5785,3.5168,0.0075,0.0215,0.0466,-33.957771,18.461008
2814,-0.7920,-0.1627,9.5545,3.4754,0.0105,0.0218,0.0476,-33.957771,18.461008
2828,-0.7944,-0.2010,9.5378,3.4414,0.0131,0.0179,0.0499,-33.957771,18.461008
2842,-0.7609,-0.1603,9.5282,3.4147,0.0157,0.0243,0.0498,-33.957771,18.461008
2856,-0.7083,-0.1795,9.5856,3.4547,0.0125,0.0257,0.0449,-33.957771,18.461008
2870,-0.7657,-0.1651,9.5378,3.3898,0.0110,0.0220,0.0502,-33.957771,18.461008
2884,-0.7920,-0.1914,9.5210,3.3562,0.0098,0.0247,0.0480,-33.957771,18.461008
2898,-0.7370,-0.2177,9.5761,3.3942,0.0092,0.0238,0.0455,-33.957771,18.461008
2912,-0.7777,-0.1771,9.5091,3.3106,0.0139,0.0211,0.0484,-33.957771,18.461008
2926,-0.7753,-0.1962,9.5450,3.3297,0.0134,0.0234,0.0495,-33.957771,18.461008
2940,-0.7513,-0.1819,9.5713,3.3393,0.0147,0.0237,0.0461,-33.957771,18.461008
2954,-0.7705,-0.1890,9.5569,3.3083,0.0104,0.0238,0.0489,-33.957771,18.461008
2968,-0.7633,-0.1364,9.5689,3.3036,0.0130,0.0228,0.0487,-33.957771,18.461008
2982,-0.7490,-0.1842,9.5904,3.3086,0.0063,0.0217,0.0455,-33.957771,18.461008
2996,-0.7920,-0.1699,9.5306,3.2325,0.0127,0.0261,0.0476,-33.957771,18.461006
3010,-0.7274,-0.1555,9.5426,3.2282,0.0076,0.0200,0.0466,-33.957771,18.461006
3024,-0.7633,-0.1507,9.5545,3.2240,0.0130,0.0202,0.0478,-33.957771,18.461006
3038,-0.7705,-0.1627,9.5833,3.2364,0.0116,0.0199,0.0441,-33.957771,18.461006
3052,-0.7490,-0.1795,9.5091,3.1465,0.0111,0.0209,0.0464,-33.957771,18.461006
3066,-0.7609,-0.1914,9.5378,3.1593,0.0127,0.0218,0.0460,-33.957771,18.461006
