# ATP-2 IMU Static Accuracy
phase,sample,az_raw,az_filt,timestamp_ms
STATIC,142,9.7173,-0.0076,105106
STATIC,143,9.6861,-0.0385,105135
STATIC,144,9.7053,-0.0193,105161
STATIC,145,9.7029,-0.0216,105190
STATIC,146,9.7244,-0.0000,105217
STATIC,147,9.7508,0.0262,105250
STATIC,148,9.7340,0.0094,105277
STATIC,149,9.6957,-0.0288,105305
STATIC,150,9.7125,-0.0120,105333
STATIC,151,9.7627,0.0381,105361
STATIC,152,9.6814,-0.0430,105388
STATIC,153,9.7292,0.0048,105416
STATIC,154,9.7555,0.0310,105444
STATIC,155,9.7053,-0.0192,105472
STATIC,156,9.7412,0.0166,105499
STATIC,157,9.7149,-0.0097,105527
STATIC,158,9.7244,-0.0001,105555
STATIC,159,9.7220,-0.0025,105583
STATIC,160,9.7196,-0.0048,105610
STATIC,161,9.7795,0.0547,105638
STATIC,162,9.7412,0.0163,105671
STATIC,163,9.7388,0.0139,105697
STATIC,164,9.6861,-0.0386,105726
STATIC,165,9.7484,0.0235,105753
STATIC,166,9.7268,0.0020,105782
STATIC,167,9.7292,0.0043,105808
STATIC,168,9.7316,0.0067,105837
STATIC,169,9.7029,-0.0219,105864
STATIC,170,9.6718,-0.0527,105893
STATIC,171,9.6981,-0.0263,105919
STATIC,172,9.7364,0.0119,105948
STATIC,173,9.7292,0.0047,105975
STATIC,174,9.7388,0.0142,106004
STATIC,175,9.7292,0.0046,106030
STATIC,176,9.7555,0.0308,106059
STATIC,177,9.7173,-0.0074,106091
STATIC,178,9.7268,0.0021,106119
STATIC,179,9.7101,-0.0146,106146
STATIC,180,9.7196,-0.0050,106174
STATIC,181,9.7316,0.0070,106202
STATIC,182,9.7125,-0.0121,106230
STATIC,183,9.7436,0.0189,106257
STATIC,184,9.7244,-0.0002,106285
STATIC,185,9.7436,0.0188,106313
STATIC,186,9.7173,-0.0075,106341
STATIC,187,9.7364,0.0116,106368
STATIC,188,9.7388,0.0139,106396
STATIC,189,9.7364,0.0115,106424
STATIC,190,9.7460,0.0209,106452
STATIC,191,9.7412,0.0161,106479
STATIC,192,9.6981,-0.0269,106507
STATIC,193,9.7340,0.0090,106532
STATIC,194,9.6790,-0.0458,106560
STATIC,195,9.7149,-0.0099,106588
STATIC,196,9.7484,0.0235,106615
STATIC,197,9.7220,-0.0028,106643
STATIC,198,9.7531,0.0282,106671
STATIC,199,9.7149,-0.0101,106699
STATIC,200,9.7220,-0.0029,106726
STATIC,201,9.6622,-0.0624,106754
STATIC,202,9.6861,-0.0383,106782
STATIC,203,9.7316,0.0072,106810
STATIC,204,9.7220,-0.0024,106837
STATIC,205,9.7101,-0.0143,106865
STATIC,206,9.7220,-0.0023,106893
STATIC,207,9.7173,-0.0071,106921
STATIC,208,9.6981,-0.0261,106952
STATIC,209,9.6766,-0.0474,106981
STATIC,210,9.7125,-0.0114,107008
STATIC,211,9.7173,-0.0066,107037
STATIC,212,9.7029,-0.0209,107063
STATIC,213,9.6933,-0.0303,107092
STATIC,214,9.7149,-0.0087,107119
STATIC,215,9.7268,0.0033,107148
STATIC,216,9.6838,-0.0396,107174
STATIC,217,9.7316,0.0082,107203
STATIC,218,9.7436,0.0201,107230
STATIC,219,9.7340,0.0104,107259
STATIC,220,9.7555,0.0318,107285
STATIC,221,9.7531,0.0293,107314
STATIC,222,9.7484,0.0244,107341
STATIC,223,9.7125,-0.0115,107373
